Category: All categories

Week,hair pins: (Worldwide),hair doll: (Worldwide)
2017-02-19,21,61
2017-02-26,22,51
2017-03-05,22,58
2017-03-12,24,56
2017-03-19,27,52
2017-03-26,25,50
2017-04-02,25,46
2017-04-09,22,56
2017-04-16,24,49
2017-04-23,24,51
2017-04-30,27,50
2017-05-07,29,43
2017-05-14,28,47
2017-05-21,23,52
2017-05-28,28,53
2017-06-04,26,58
2017-06-11,25,55
2017-06-18,23,65
2017-06-25,30,65
2017-07-02,32,55
2017-07-09,29,64
2017-07-16,24,59
2017-07-23,30,56
2017-07-30,27,69
2017-08-06,27,71
2017-08-13,26,71
2017-08-20,26,71
2017-08-27,25,58
2017-09-03,28,66
2017-09-10,21,56
2017-09-17,31,62
2017-09-24,27,59
2017-10-01,24,60
2017-10-08,25,68
2017-10-15,23,80
2017-10-22,27,74
2017-10-29,25,79
2017-11-05,22,79
2017-11-12,25,74
2017-11-19,21,89
2017-11-26,20,95
2017-12-03,29,92
2017-12-10,18,93
2017-12-17,22,94
2017-12-24,21,100
2017-12-31,24,74
2018-01-07,23,65
2018-01-14,19,68
2018-01-21,21,58
2018-01-28,31,54
2018-02-04,26,60
2018-02-11,19,54
